date,hour,userType,source,pagePath,deviceCategory,country,city,users,sessions,sessionDuration,timeOnPage,pageLoadTime,bounces
20200402,10,New Visitor,google,/blog/image-rotation-opencv,desktop,Austria,Vienna,1,1,0,0,0,1
20200402,10,New Visitor,google,/blog/image-rotation-opencv,desktop,Taiwan,(not set),1,1,0,0,0,1
20200402,10,New Visitor,google,/blog/motion-monitor-opencv,desktop,Poland,Podkowa Lesna,1,1,0,0,0,1
20200402,11,New Visitor,google,/blog/image-preprocessing,desktop,India,Pimpri-Chinchwad,1,1,0,0,0,1
20200402,11,New Visitor,google,/blog/image-rotation-opencv,desktop,France,Boulogne-Billancourt,1,1,0,0,0,1
20200402,11,New Visitor,google,/blog/image-rotation-opencv,desktop,India,Bengaluru,1,1,0,0,0,1
20200402,11,New Visitor,google,/blog/ssd-yolo,desktop,Sweden,Lund,1,1,0,0,0,1
20200402,12,New Visitor,google,/blog/document-detection,desktop,India,Jaipur,1,1,0,0,0,1
20200402,12,New Visitor,google,/blog/ssd-yolo,desktop,Turkey,Bursa,1,1,0,0,0,1
20200402,12,Returning Visitor,google,/blog/ssd-yolo,desktop,Sweden,Lund,1,1,0,0,0,1
20200402,14,New Visitor,(direct),/blog/image-rotation-opencv,desktop,India,Chennai,1,1,0,0,0,1
20200402,14,New Visitor,google,/blog/image-rotation-opencv,desktop,Belgium,Sprimont,1,1,0,0,0,1
20200402,14,New Visitor,google,/blog/image-rotation-opencv,desktop,Netherlands,Heeze,1,1,0,0,0,1
20200402,14,New Visitor,google,/blog/motion-monitor-opencv,desktop,Croatia,Zagreb,1,1,607,607,0,0
20200402,14,New Visitor,google,/blog/ssd-yolo,desktop,India,Pune,1,1,0,0,0,1
20200402,14,New Visitor,google,/blog/ssd-yolo,desktop,India,Thrissur,1,1,0,0,0,1
20200402,15,New Visitor,google,/blog/serverless-api-lambda,desktop,France,Chelan,1,1,0,0,0,1
